Nama Tempat,Alamat,No Telepon,Rating,Ulasan Singkat,URL
Bang Jaja Seafood Genteng,"Jl. Genteng Besar No.17, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275",0857-4666-1565,"4,3","Puas Banget! Seafood Enak, Porsi Jumbo, Harga Kaki Lima  ""Pengalaman makan yang sangat memuaskan di Seafood Genteng. Kemarin iseng …",https://www.google.com/maps/place/Bang+Jaja+Seafood+Genteng/data=!4m7!3m6!1s0x2dd7f9678bd93725:0xb4168c34dde6d6f2!8m2!3d-7.259143!4d112.741855!16s%2Fg%2F11b7vj7p6c!19sChIJJTfZi2f51y0R8tbm3TSMFrQ?authuser=0&hl=id&rclk=1
Nasi Jagung Khas Madura,"Ps. Pegirian, Jl. Nyamplungan No.236, Ampel, Kec. Semampir, Surabaya, Jawa Timur 60152",Tidak diketahui,"4,5","Tempatnya lumayan rame saat jam makan malam. Tempat duduknya ada di trotoar di sekitaran tempat pesannya. Antrian makan di tempat dan bungkus dipisah. Lauknya ada babat, paru, cumi, tongkol, cecek, dan belut. Saya pribadi lebih suka babat, …",https://www.google.com/maps/place/Nasi+Jagung+Khas+Madura/data=!4m7!3m6!1s0x2dd7f91df9900001:0x9a2efc279eb74131!8m2!3d-7.2269964!4d112.7455875!16s%2Fg%2F11f03m_n2q!19sChIJAQCQ-R351y0RMUG3nif8Lpo?authuser=0&hl=id&rclk=1
Restoran,"Surabaya Plaza, Jl. Pemuda No.33-37 LT 5 / FC no 7 (Area Foodcourt, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",0813-5703-6410,"4,7",Tempat makan dengan citarasa Indonesia yg cukup lama berada di Surabaya Plaza. Interior telah disesuaikan dengan desain  saat ini. Tempat duduk nyaman dan luas. Hanya saja rasa masakan kurang konsisten jika dibandingkan dengan yg dulu. …,https://www.google.com/maps/place/Restoran/data=!4m7!3m6!1s0x2dd7f91266da6435:0xcc03f0b34b0f967d!8m2!3d-7.2647766!4d112.7486923!16s%2Fg%2F11x66bpcn5!19sChIJNWTaZhL51y0RfZYPS7PwA8w?authuser=0&hl=id&rclk=1
Mie KJ 1960,"Jalan Kembang Jepun No.48 Bongkaran, Nyamplungan, Kec. Pabean Cantikan, Surabaya, Jawa Timur 60162",0822-9888-1960,"4,6",Tidak ada ulasan teks,https://www.google.com/maps/place/Mie+KJ+1960/data=!4m7!3m6!1s0x2dd7f9176bff45d1:0xf5c1aa993cca689a!8m2!3d-7.23793!4d112.7430517!16s%2Fg%2F11hb54_k_2!19sChIJ0UX_axf51y0RmmjKPJmqwfU?authuser=0&hl=id&rclk=1
de Soematra,"Jl. Sumatera No.75, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",(031) 5010666,"4,7","Sebenarnya suka dg tempatnya ,, buat foto2 bagus .. makanan yg di sajikan juga enak , ( saya pesan set menu ) 4 agt ‘25 lalu saya lunch bday , saya pesan dekor tapi sempat tidak boleh di …",https://www.google.com/maps/place/de+Soematra/data=!4m7!3m6!1s0x2dd7fbd97d105b21:0xf5bb90ede92d68bb!8m2!3d-7.2715355!4d112.7473151!16s%2Fg%2F1q5cccjym!19sChIJIVsQfdn71y0Ru2gt6e2Qu_U?authuser=0&hl=id&rclk=1
Gubug Makan Mang Engking Gubeng Surabaya,"Jl. Gubeng Masjid, Pacar Keling, Kec. Tambaksari, Surabaya, Jawa Timur",(031) 99453722,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Gubug+Makan+Mang+Engking+Gubeng+Surabaya/data=!4m7!3m6!1s0x2dd7fb27e4e5d3f5:0x1f44be80d59668d1!8m2!3d-7.2671284!4d112.7526298!16s%2Fg%2F11tmdwt8wm!19sChIJ9dPl5Cf71y0R0WiW1YC-RB8?authuser=0&hl=id&rclk=1
Ayam Goreng Jakarta Asli,"Jl. Tidar No.3-1, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251",Tidak diketahui,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Ayam+Goreng+Jakarta+Asli/data=!4m7!3m6!1s0x2dd7f91f0f3856c7:0x25d2f57d5a444c84!8m2!3d-7.2582627!4d112.7325298!16s%2Fg%2F11kyc92swn!19sChIJx1Y4Dx_51y0RhExEWn310iU?authuser=0&hl=id&rclk=1
Sate Kelopo Tiara,"Jl. Pacar Kembang No.21, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132",0878-6622-6600,"4,6","Sate Kelopo versi warga lokal. Rasa enak dan tidak kalah dengan sate klopo yang sudah terkenal. Cuma ada satu jenis sate : daging sapi selap lemak/gajih. Harga cukup terjangkau, bila mode hemat pesan 5tusuk sate + nasi sudah cukup kenyang, …",https://www.google.com/maps/place/Sate+Kelopo+Tiara/data=!4m7!3m6!1s0x2dd7f97929c416ad:0xf4e35992c767d559!8m2!3d-7.2605199!4d112.7598766!16s%2Fg%2F11bwkdqtly!19sChIJrRbEKXn51y0RWdVnx5JZ4_Q?authuser=0&hl=id&rclk=1
Bebek Sinjay - Kaza Mall,"Kaza City- Foodcourt, Jl. Kapas Krampung B No.45 No.5, Tambakrejo, Kec. Simokerto, Surabaya, Jawa Timur 60133",Tidak diketahui,"4,3",Untuk makanannya 3/10 Karna  penyajiannya semua dingin kayak di goreng kemaren sore Pelayanannya 1/10 …,https://www.google.com/maps/place/Bebek+Sinjay+-+Kaza+Mall/data=!4m7!3m6!1s0x2dd7f974f3694abd:0x4f2814618f8b703d!8m2!3d-7.2479823!4d112.7582917!16s%2Fg%2F11b6ty_rvh!19sChIJvUpp83T51y0RPXCLj2EUKE8?authuser=0&hl=id&rclk=1
Depot Bu Rudy - Dharmahusada,"Jl. Dharmahusada No.144, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",0812-4428-4424,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Depot+Bu+Rudy+-+Dharmahusada/data=!4m7!3m6!1s0x2dd7f9fdfa4dc9cd:0x73513935dae2989e!8m2!3d-7.2674503!4d112.7700431!16s%2Fg%2F1hd_3mf8w!19sChIJzclN-v351y0Rnpji2jU5UXM?authuser=0&hl=id&rclk=1
Apeng Kwetiau Medan,"Jl. Kedung Doro No.267, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60251",(031) 5345778,"4,6","Kwetiau Legendaris yang sudah lama ada di Surabaya.  Food : Rasa kwetiau nya enak, wangi wok, dan isi nya banyak. Untuk kwetiau babi …",https://www.google.com/maps/place/Apeng+Kwetiau+Medan/data=!4m7!3m6!1s0x2dd7fb94d6e5e18d:0x5014df8369ab113c!8m2!3d-7.2683706!4d112.7293854!16s%2Fg%2F1hc1l7j18!19sChIJjeHl1pT71y0RPBGraYPfFFA?authuser=0&hl=id&rclk=1
Magnolia Restaurant At Westin Surabaya,"Westin Surabaya, Jalan Puncak Indah Jl. Raya Lontar No.2, Surabaya, Jawa Timur 60216",(031) 29710000,"4,5",Salah satu buffet hotel yang paling famous di Surabaya. Kualitasnya baik dan bagus. Lokasi di lantai L nya Westin Pakuwon Mall. Masuk dari samping Pull & Bear. …,https://www.google.com/maps/place/Magnolia+Restaurant+At+Westin+Surabaya/data=!4m7!3m6!1s0x2dd7fdde0a5f0723:0x19bfe1288733e697!8m2!3d-7.2901625!4d112.6751242!16s%2Fg%2F11qqf9vnt1!19sChIJIwdfCt791y0Rl-Yzhyjhvxk?authuser=0&hl=id&rclk=1
Yoshinoya - Plaza Surabaya,"Plaza Surabaya, Jl. Pemuda No.33-37, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",(021) 1500566,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Yoshinoya+-+Plaza+Surabaya/data=!4m7!3m6!1s0x2dd7f96301f7cfa1:0x231543a7f81395b5!8m2!3d-7.2648758!4d112.7486114!16s%2Fg%2F11b6q55jz9!19sChIJoc_3AWP51y0RtZUT-KdDFSM?authuser=0&hl=id&rclk=1
Pizza Hut Restoran - Basuki Rahmat Surabaya,"Jl. Jenderal Basuki Rachmat No.25-31, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",1 500 600,"4,7",Tidak ada ulasan teks,https://www.google.com/maps/place/Pizza+Hut+Restoran+-+Basuki+Rahmat+Surabaya/data=!4m7!3m6!1s0x2dd7fb627d8726d1:0x750286490adc8788!8m2!3d-7.2644529!4d112.7424851!16s%2Fg%2F11gvxbjsqr!19sChIJ0SaHfWL71y0RiIfcCkmGAnU?authuser=0&hl=id&rclk=1
Nagano Japanese Restaurant,"Jl. Mayjen HR. Muhammad No.31, Putat Gede, Kec. Sukomanunggal, Surabaya, Jawa Timur 60189",(031) 7301888,"5,0",Vasa Hotel Surabaya - Nagano Restaurant - AYCE Yakiniku (3 jam) - +/- Rp600.000/pax …,https://www.google.com/maps/place/Nagano+Japanese+Restaurant/data=!4m7!3m6!1s0x2dd7fda3987dff3b:0x3c6d6d22d372fa78!8m2!3d-7.2862214!4d112.6992139!16s%2Fg%2F11kq3nx3lf!19sChIJO_99mKP91y0RePpy0yJtbTw?authuser=0&hl=id&rclk=1
Hanamasa - Gubeng Pojok,"Jl. Gubeng Pojok No.31 010, RT.010/RW.07, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",(031) 5340446,"4,6","Harga per orang 233.500 belum pajak 10%, ada Promo Paket 4 orang bisa free 1 orang lagi, All you can eat yang nyaman ya karena waktu tidak dibatasi, hanya saja memang pilihan lauk dan makanannya standar saja",https://www.google.com/maps/place/Hanamasa+-+Gubeng+Pojok/data=!4m7!3m6!1s0x2dd7fbd9bc33de5b:0xb451f4017cc04153!8m2!3d-7.2658483!4d112.7514572!16s%2Fg%2F1tjwl1bf!19sChIJW94zvNn71y0RU0HAfAH0UbQ?authuser=0&hl=id&rclk=1
Sentra Wisata Kuliner Urip Sumoharjo,"Jl. Urip Sumoharjo No.46-48, RT.001/RW.14, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",0813-3091-0202,"4,1","Tidak lagi makan di tempat ini, khususnya DEPOT RAITA. 1. Saya pesan rawon, yang dikasih soto. Sebenarnya gpp kalau dia bilang kalau rawonnya tidak ada, tapi dia tanpa komunikasi langsung menyajikan soto tersebut …",https://www.google.com/maps/place/Sentra+Wisata+Kuliner+Urip+Sumoharjo/data=!4m7!3m6!1s0x2dd7fbdd1cc165e9:0xdd353d00a826c0e8!8m2!3d-7.2747433!4d112.7415447!16s%2Fg%2F11bvt1ndfb!19sChIJ6WXBHN371y0R6MAmqAA9Nd0?authuser=0&hl=id&rclk=1
Botanika - Kertajaya Indah,"Jl. Raya Kertajaya Indah Blok F-303 No.33, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116",(031) 5954800,"4,6","Masakannya enak, walau harganya pricey. Pelayanan ramah banget mbak2 n mas2nya 🥰. Dekorasinya sudah menunjukkan suasana natal, teduh banget. …",https://www.google.com/maps/place/Botanika+-+Kertajaya+Indah/data=!4m7!3m6!1s0x2dd7fa3a005a3f37:0xa8d07d36e28a1151!8m2!3d-7.2801373!4d112.7749205!16s%2Fg%2F11d_bsnb1_!19sChIJNz9aADr61y0RURGK4jZ90Kg?authuser=0&hl=id&rclk=1
Bebek Sinjay - Ahmad Yani,"Ruko Grand Ahmad Yani Blok 151H, Jl. Ahmad Yani, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237",0853-3409-3333,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Bebek+Sinjay+-+Ahmad+Yani/data=!4m7!3m6!1s0x2dd7fb420b99e4ab:0x637dfa5d00c79d21!8m2!3d-7.3280587!4d112.732034!16s%2Fg%2F11b6lgw2js!19sChIJq-SZC0L71y0RIZ3HAF36fWM?authuser=0&hl=id&rclk=1
Rawon Pak Pangat Wonokromo,"Lotus Regency, Jl. Ketintang Baru Sel. I No.15, Ketintang, Kec. Gayungan, Surabaya, Jawa Timur 60235",0896-8739-1222,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Rawon+Pak+Pangat+Wonokromo/data=!4m7!3m6!1s0x2dd7fb6646d42f51:0x402f071492005ab4!8m2!3d-7.3247411!4d112.7254407!16s%2Fg%2F1hm36f846!19sChIJUS_URmb71y0RtFoAkhQHL0A?authuser=0&hl=id&rclk=1
Rawon Setan - Embong Malang,"No.78/I, Jl. Embong Malang, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60261",0812-1666-1911,"4,2",Tidak ada ulasan teks,https://www.google.com/maps/place/Rawon+Setan+-+Embong+Malang/data=!4m7!3m6!1s0x2dd7f9675f5ab153:0xd7718efb5cb01015!8m2!3d-7.2592003!4d112.7351774!16s%2Fg%2F1hm1z3ll5!19sChIJU7FaX2f51y0RFRCwXPuOcdc?authuser=0&hl=id&rclk=1
Sego Sambel Mak Yeye,"Jl. Jagir Wonokromo Wetan No.10, Jagir, Kec. Wonokromo, Surabaya, Jawa Timur 60244",Tidak diketahui,"4,3","Makanan tradisional dan sederhana. Lauknya juga simple, hanya ada telur dadar, tempe goreng, dan pe (ikan pari asap) dicampur dengan sambal. …",https://www.google.com/maps/place/Sego+Sambel+Mak+Yeye/data=!4m7!3m6!1s0x2dd7fb98a0bb520d:0x1aabc304682113bc!8m2!3d-7.3013703!4d112.7380496!16s%2Fg%2F11bytv2579!19sChIJDVK7oJj71y0RvBMhaATDqxo?authuser=0&hl=id&rclk=1
Kafe Bromo,"Sheraton Surabaya Hotel & Towers, Jl. Embong Malang No.25-31, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261",(031) 5468000,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Kafe+Bromo/data=!4m7!3m6!1s0x2dd7f95de34fc8fd:0x839ba953e7c613c0!8m2!3d-7.262976!4d112.7380948!16s%2Fg%2F11cfbkq9t!19sChIJ_chP41351y0RwBPG51Opm4M?authuser=0&hl=id&rclk=1
Kedai Kaladulu,"Jl. Raya Dharma Husada Indah No.D-16, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115",0821-2854-1486,"4,7","Nasi gorengnya spt bukan fresh made by order, datang dg kondisi tidak panas/tidak hangat, ayam suwir alot, nasi peret, dan yg paling penting nasigoreng nya beda sama yg ada di foto buku menu. Dadar jagung dimakan rasa pisang goreng, …",https://www.google.com/maps/place/Kedai+Kaladulu/data=!4m7!3m6!1s0x2dd7fbb370b5a8cd:0x85ff538dd896c91e!8m2!3d-7.2765656!4d112.7729398!16s%2Fg%2F11wp_p75dw!19sChIJzai1cLP71y0RHsmW2I1T_4U?authuser=0&hl=id&rclk=1
Ikan Bakar Cianjur - Manyar,"Jl. Manyar Kertoarjo V No.44-48, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",0811-3075-1647,"4,6",Tidak ada ulasan teks,https://www.google.com/maps/place/Ikan+Bakar+Cianjur+-+Manyar/data=!4m7!3m6!1s0x2dd7fa3258eff333:0x170f356ec786e37b!8m2!3d-7.2783151!4d112.7655563!16s%2Fg%2F1tdv8snn!19sChIJM_PvWDL61y0Re-OGx241Dxc?authuser=0&hl=id&rclk=1
IKAN BAKAR BOSS - Ngaglik,"Jl. Ngaglik No.23, Kapasari, Kec. Genteng, Surabaya, Jawa Timur 60273",0859-4364-4164,"4,6",Tidak ada ulasan teks,https://www.google.com/maps/place/IKAN+BAKAR+BOSS+-+Ngaglik/data=!4m7!3m6!1s0x2dd7f951e24cdf6b:0x8150814eed8d118e!8m2!3d-7.2488027!4d112.7522846!16s%2Fg%2F11w93_p87w!19sChIJa99M4lH51y0RjhGN7U6BUIE?authuser=0&hl=id&rclk=1
Rumah Makan Handayani,"Jl. Raya Prapen No.35, Prapen, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299",(031) 8411439,"4,2","Pelayanan sigap cepet dan ramah, sabar nunggu kami pilih² makanan, suasana pas kita makan sedang hujan, tapi tetep bersih dam duduk kami aman dari cucuran hujan",https://www.google.com/maps/place/Rumah+Makan+Handayani/data=!4m7!3m6!1s0x2dd7fb0463db3855:0xf278576ae90ad61e!8m2!3d-7.314033!4d112.756009!16s%2Fg%2F1tf138vp!19sChIJVTjbYwT71y0RHtYK6WpXePI?authuser=0&hl=id&rclk=1
Nona Manis,"Jl. Basuki Rahmat No.8-12, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261",(031) 99244200,"4,4","resto Indonesia terbaik di Tunjungan plaza. secara tempat bagus dan memberi kesan nyaman. ""pelayanan dan makanan nya bagaimana?"" tidak usah ditanya lagi. kalau makanan jelas rasanya auttentik Indonesia yang rempahnya berasa pas dilidah. …",https://www.google.com/maps/place/Nona+Manis/data=!4m7!3m6!1s0x2dd7f95de33bd241:0xb5c025b19a337f9f!8m2!3d-7.2620172!4d112.7385198!16s%2Fg%2F11bx5pfnky!19sChIJQdI741351y0Rn38zmrElwLU?authuser=0&hl=id&rclk=1
Suteki - Grand City Mall Surabaya,"Grand City Lantai 4 No. 44, surabaya, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",0823-3550-9159,"4,9",Tidak ada ulasan teks,https://www.google.com/maps/place/Suteki+-+Grand+City+Mall+Surabaya/data=!4m7!3m6!1s0x2dd7f964a9d67afd:0xa67ab295bc478c9e!8m2!3d-7.2611131!4d112.7500902!16s%2Fg%2F11h0qfq8z!19sChIJ_XrWqWT51y0RnoxHvJWyeqY?authuser=0&hl=id&rclk=1
"Bebek Goreng Purnama ""Asli""","Jl. Dinoyo, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265",Tidak diketahui,"4,4","Kesukaan Mimin setiap kali makan Bebek & Ayam Goreng ya selalu di Purnama Asli ini. Sambel e bikin auto nagih. Bebek & Ayam e Besar2, Daging e tebel. Gurih rasanya enak, wes Mimin jamin bakal ketagihan pokok'e. awas hati hati ketagihan lho.. REKOMENDED POL.. pelayanan sangat baik dan ramah...",https://www.google.com/maps/place/Bebek+Goreng+Purnama+%22Asli%22/data=!4m7!3m6!1s0x2dd7fbc3134f6d9b:0x6d12f0d35cb328bc!8m2!3d-7.2786158!4d112.7433738!16s%2Fg%2F11cst07kpb!19sChIJm21PE8P71y0RvCizXNPwEm0?authuser=0&hl=id&rclk=1
Hong Tang Healthy Dessert Grand City Surabaya,"Grand City Mall, Jl. Walikota Mustajab No.1 Lt. 4. 25, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",0877-8166-0213,"4,9",Tidak ada ulasan teks,https://www.google.com/maps/place/Hong+Tang+Healthy+Dessert+Grand+City+Surabaya/data=!4m7!3m6!1s0x2dd7f95165728a6b:0x240be8a0ba4d3ce0!8m2!3d-7.2619163!4d112.75063!16s%2Fg%2F11x2j0g4w1!19sChIJa4pyZVH51y0R4DxNuqDoCyQ?authuser=0&hl=id&rclk=1
Ayam Goreng President,"Jl. Tidar No.22, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251",0878-5320-0888,"4,3",Awalnya sih maunya makan di ayam goreng jakarta asli tp krn ga dpt parkir akhirnya melipirlah kesini mumpung udah lama jg ga makan ayam goreng ini. Dulu sering beli disini (suruh sopir beli take away). …,https://www.google.com/maps/place/Ayam+Goreng+President/data=!4m7!3m6!1s0x2dd7f95b4f5c5a47:0xb26ee3ffe949585f!8m2!3d-7.2578621!4d112.7321708!16s%2Fg%2F1hm34f5b9!19sChIJR1pcT1v51y0RX1hJ6f_jbrI?authuser=0&hl=id&rclk=1
